        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
           1       -0.016       -0.068       -0.026   0.00806766   0.06907817   0.01791913
           2       -0.016        0.036       -0.026   0.00790896   0.06887970   0.01781278
           3       -0.016        0.140       -0.026   0.00738957   0.06800678   0.01773079
           4       -0.016        0.244       -0.026   0.00660742   0.06677555   0.01765270
           5       -0.016        0.348       -0.026   0.00557517   0.06517410   0.01757652
           6       -0.016        0.452       -0.026   0.00429667   0.06321934   0.01750163
           7       -0.016        0.556       -0.026   0.00278433   0.06091935   0.01742660
           8       -0.016        0.660       -0.026   0.00105690   0.05830151   0.01735112
           9       -0.016        0.764       -0.026  -0.00085071   0.05539642   0.01727616
          10       -0.016        0.868       -0.026  -0.00290651   0.05223211   0.01720174
          11       -0.016        0.972       -0.026  -0.00507016   0.04884696   0.01712859
          12       -0.016        1.076       -0.026  -0.00729650   0.04528851   0.01705838
          13       -0.016        1.180       -0.026  -0.00951841   0.04160951   0.01699517
          14       -0.016        1.284       -0.026  -0.01167039   0.03785697   0.01694928
          15       -0.016        1.388       -0.026  -0.01367233   0.03407659   0.01692396
          16       -0.016        1.492       -0.026  -0.01545163   0.03031347   0.01692465
          17       -0.016        1.596       -0.026  -0.01692679   0.02660900   0.01694944
          18       -0.016        1.700       -0.026  -0.01804175   0.02298966   0.01699369
          19       -0.016        1.804       -0.026  -0.01873345   0.01947463   0.01705608
          20       -0.016        1.908       -0.026  -0.01896341   0.01607894   0.01713195
          21       -0.016        2.012       -0.026  -0.01871843   0.01279019   0.01721950
          22       -0.016        2.116       -0.026  -0.01802786   0.00959447   0.01730148
          23       -0.016        2.220       -0.026  -0.01693196   0.00648608   0.01737498
          24       -0.016        2.324       -0.026  -0.01549898   0.00346558   0.01742857
          25       -0.016        2.428       -0.026  -0.01380812   0.00053763   0.01746270
          26       -0.016        2.532       -0.026  -0.01195779  -0.00227684   0.01747016
          27       -0.016        2.636       -0.026  -0.01003485  -0.00495001   0.01745348
          28       -0.016        2.740       -0.026  -0.00813385  -0.00745085   0.01741161
          29       -0.016        2.844       -0.026  -0.00631575  -0.00974367   0.01735195
          30       -0.016        2.948       -0.026  -0.00465440  -0.01177647   0.01728103
          31       -0.016        3.052       -0.026  -0.00319721  -0.01350402   0.01721725
          32       -0.016        3.156       -0.026  -0.00199289  -0.01489493   0.01717331
          33       -0.016        3.260       -0.026  -0.00106679  -0.01591373   0.01716950
          34       -0.016        3.364       -0.026  -0.00042430  -0.01654119   0.01721732
          35       -0.016        3.468       -0.026  -0.00035931  -0.01607673   0.01735862
          36        0.088       -0.068       -0.026   0.00792440   0.06877406   0.01783899
          37        0.088        0.036       -0.026   0.00788047   0.06867363   0.01778759
          38        0.088        0.140       -0.026   0.00736396   0.06780023   0.01770454
